page,contenu,tome,ID,cID
113,Parti de Rochefort le 16 juin 1673.,1,P2245,C7277
113,Va arriver à La Rochelle. ,1,P2245,C7278
255,"Le 15 décembre 1687, Gabriel Ducasse avait conclu avec Amoysy, roi de Comendo (Guinée) un traité qui cédait aux Français le village d'Aquitagny et rappelait leurs anciennes relations avec la Côte-d'Or.",1,A67,C7807
118,"Marquis. Né à Honfleur, enseigne de vaisseau en 1665, capitaine en 1666, chef d'escadre du Languedoc en 1675, lieutenant général en 1688, mort le 2 novembre 1692. Prendra le commandement des trois vaisseaux : le Prince, le Sage et l'Aquilon, et se rendra dans la baie de Cadix.",1,P2535,C9141
118,Reçoit les ordres du Roi relatifs à son départ.,1,P2535,C9142
125,"Comte d'Estrées, premier baron du Boulonais. Né en 1624, mort le 19 mai 1707, chevalier des ordres du Roi 1688, maréchal le 26 mars 1681, duc et pair de France, vice-roi de l'Amérique, gouverneur de Bretagne. Marié en 1658 à Marie-Marguerite Morin, morte en 1714. Il avait été fait vice-amiral du Ponant le 12 novembre 1669. L'escadre commandée par M. le comte d'Esrtées a quitté la Tamise depuis quelques jours et ses vaisseaux armés à Rochefort viendront bientôt y désarmer.",1,P2601,C9360
125,Commandera la prochaine expédition contre Alger.,1,P2601,C9358
125,Commandera la prochaine expédition contre Alger.,1,P2601,C9359
125,S'occupe de la défense des côtes.,1,P2601,C9361
125,A fait établir des batteries sur les côtes.,1,P2601,C9357
123,"Chevalier Desclouzeaux. Commissaire ordinaire en 1634, à Rochefort en 1670, commissaire général en 1675, au Havre en 1676, à Dunkerque en 1679, intendant de l'escadre envoyée en Danemark en 1683, intendant des armées navales du Ponant au port de Brest en décembre 1683, mort le 16 mai 1701. Reçoit la correspondance de la Cour en l'absence de Colbert du Terron, du 23 septembre 1672 au 12 juin 1673.",1,P2974,C10442
123,Enrolera des matelots dans l'Aunis.,1,P2974,C10445
123,Enrolera des matelots dans l'Aunis.,1,P2974,C10446
123,Enrolera des matelots dans l'Aunis.,1,P2974,C10447
123,Enrolera des matelots dans l'Aunis.,1,P2974,C10448
123,Lui envoyer les 1000 fusils qu'il demande.,1,P2974,C10449
124,Lui envoyer les 1000 fusils qu'il demande.,1,P2974,C10450
124,Lui envoyer les 1000 fusils qu'il demande.,1,P2974,C10451
124,Demande 6000 bombes pour Brest.,1,P2974,C10443
124,Demande 6000 bombes pour Brest.,1,P2974,C10444
133,"Né au Havre. Capitaine en 1627, chef d'escadre en 1643, remis capitaine en 1661, mort en février 1673. Colbert du Terron écrivait le 24 août : Si cet homme avait de l'esprit, il serait bon procureur, mais pour homme de guerre, il ne le sera jamais. Seignelay écrit que le Roi est surpris que cet officier ne soit pas encore parti avec ses vaisseaux.",1,P3430,C12038
133,Ordre de le faire partir immédiatement.,1,P3430,C12039
133,Nouvelles de sa mort.,1,P3430,C12037
133,Ecrit au 1er février 1673 qu'il n'a plus de vivres. Seignelay prescrit de lui en envoyer par un bateau marchand.,1,P3430,C12036
134,Commissaire aux conduites des chaînes. Reçoit l'ordre de conduire 36 turcs aux galères de Marseille.,1,P3449,C12080
259,"Favoriser les foires de Rochefort, en y achetant beaucoup.",1,A130,C13996
157,"Le Roi veut que Mme de Jugné qui n'est pas bonne catholique, se retire immédiatement de la terre de Marennes qui ne lui appartient plus.",1,P5074,C17632
222,"Autrefois le Saint-Louis, construit en 1656. C'est le Phénix de nos vaisseaux écrivait [Trubert] en 1662. Il va mieux que les frégates. Il fut fort maltraité en 1662 et 1668. Il existait encore en 1677. A besoin d'être radoubé.",1,B303,C17844
222,A besoin d'être radoubé.,1,B303,C17839
222,A besoin d'être radoubé.,1,B303,C17840
222,A besoin d'être radoubé.,1,B303,C17841
222,A besoin d'être radoubé.,1,B303,C17842
222,A besoin d'être radoubé.,1,B303,C17843
222,L'armer.,1,B303,C17845
222,Son artillerie.,1,B303,C17847
222,Presser l'armement.,1,B303,C17846
223,Vaisseau. Presser sa construction.,1,B310,C17871
223,L'armer.,1,B310,C17867
223,A besoin de grandes réparations.,1,B310,C17865
223,A besoin de grandes réparations.,1,B310,C17866
223,A besoin de grandes réparation.,1,B310,C17864
223,Porter à la Monnaie de La Rochelle les 200 000 livres apportées par l'Apollon.,1,B310,C17870
223,Le radouber.,1,B310,C17868
223,Mis dans la forme.,1,B310,C17869
224,"Vaisseau. Le mettre en état de partir pour Cadix, sous le commandement du marquis d'Amfreville.",1,B311,C17873
224,A été mal caréné à Rochefort.,1,B311,C17872
241,Presser la construction de ce vaisseau.,1,B348,C18059
241,L'armer.,1,B348,C18057
241,L'armer.,1,B348,C18058
239,Frégate. Sera commandée par Serpaut pour garder l'entrée de la rivière de Bordeaux contre les corsaires hollandais.,1,B377,C18284
239,Charge de chanvre à Brest pour Rochefort.,1,B377,C18283
158,"Antoine Lefebvre de La Barre, maître des requêtes, intendant de Paris, conseiller d'Etat, fut nommé en 1663, gouverneur du Canada, capitaine de vaisseau en 1671. On donnait alors une galère ou un vaisseau comme on aurait donné un bénéfice, mais il était plus rare de voir des magistrats les monter ou les commander. La Barre avait commandé, dès 1667, quatorze vaisseaux pour la Compagnie des Indes orientales ; en 1682 il fut gouverneur du Canada, en 1687 gouverneur de Cayenne. Il mourut le 3 septembre 1690. On va joindre à son escadre le vaisseau le Tigre.",1,P5237,C18647
158,"Capitaine fort entendu, disait Colbert en 1673. Commandant la frégate la Maligne. Le Roi veut lui donner le commandement du brûlot le Serpent.",1,P5275,C18716
158,Commnande le vaisseau le Brillant.,1,P5275,C18717
167,"Né en 1649, enseigne de vaisseau en 1670, capitaine en 1671, chef d'escadre en 1689, lieutenant général en 1697, mort à Sceaux en 1711, commandeur de l'ordre de Saint Louis en 1707. Il avait beaucoup de hauteur et traitait Du Quesne d'homme de rien. On l'accusait de s'adonner au vin. Il aassista à 17 batailles, et Seignelay disait de lui en 1673 : C'est un garçon qui a envie de faire et qui a beaucoup de valeur. Cependant, M. de Combes l'accusait en 1701 d'être un vrai malhonnête homme et capable de toute méchanceté et malin subtil et il ajoutait : il est presqu'impossible qu'un homme qui a été obligé de se justifier tant de fois puisse valoir quelque chose. Nommé au commandement du vaisseau le Tigre, il est remplacé par M. de La Clocheterie, par ordre du Roi.",1,P5722,C19659
167,"Né en 1649, enseigne de vaisseau en 1670, capitaine en 1671, chef d'escadre en 1689, lieutenant général en 1697, mort à Sceaux en 1711, commandeur de l'ordre de Saint Louis en 1707. Il avait beaucoup de hauteur et traitait Duquesne d'homme de rien. On l'accusait de s'adonner au vin. Il aassista à 17 batailles, et Seignelay disait de lui en 1673 : C'est un garçon qui a envie de faire et qui a beaucoup de valeur. Cependant, M. de Combes l'accusait en 1701 d'être un vrai malhonnête homme et capable de toute méchanceté et malin subtil et il ajoutait : il est presqu'impossible qu'un homme qui a été oobliégé de se justifier tant de fois puisse valoir quelque chose. Nommé au commandement du vaisseau le Tigre, il est remplacé par M. de La Clocheterie, par ordre du Roi.",1,P5722,C19660
168,"Capitaine de vaisseau, noyé dans le naufrage du vaisseau le Juste, dans la rivière de Lisbonne, 1673.",1,P5741,C19720
168,"Capitaine d'artillerie de Rochefort. Doit 541 livres au sieur Le Roy, marchand au Havre. Retenir cette somme sur ses appointements.",1,P5741,C19719
168,"Capitaine d'artillerie de Rochefort. Demande à faire habiller, de même parure, les compagnies des apprentis canonniers ; ils consentent à donner 4 livres par mois.",1,P5741,C19718
117,Demande à être reçu dans les gardes de la Marine.,2,P5741,C19721
233,"Presser la construction de ce vaisseau, 1672.",1,B437,C20465
233,"Presser la construction de ce vaisseau, 1672.",1,B437,C20466
243,"Vaisseau. Le mettre en état de partir pour Cadix, sous le commandement du marquis d'Amfreville.",1,B475,C20563
243,"Vaisseau. Le mettre en état de partir pour Cadix, sous le commandement du marquis d'Amfreville.",1,B475,C20564
244,"Vaisseau. Destiné pour Cadix, sous le commandement de M. d'Amfreville.",1,B483,C20575
245,Vaisseau. A besoin de grandes réparations.,1,B491,C20595
245,Vaisseau. A besoin de grandes réparations.,1,B491,C20596
245,Vaisseau. A besoin de grandes réparations.,1,B491,C20597
245,"Brûlot commandé par le sieur La Borde, croisera à l'entrée de la rivière de Bordeaux.",1,B493,C20599
247,Seignelay prescrit d'armer ce vaisseau pour le joindre à l'escadre du sieur de La Barre.,1,B499,C20618
247,Lever son équipage. Liste des officiers du bord.,1,B499,C20616
247,Le Roi nomme M. de La Clocheterie au commandement du Tigre en remplacement de M. de Langeron.,1,B499,C20615
247,Ne pas augmenter son équipage. Il escotera au Havre les vaisseaux des fermiers des gabelles.,1,B499,C20617
247,Il est de retour. Lui fournir des vivres pour qu'il reparte.,1,B499,C20614
181,"1641-1691. Ministre d'Etat, 1677. Envoie des ordres pour faire mettre en quartier d'hiver dans les villes et lieux voisins de Rochefort, 1200 soldats des équipages des vaisseaux qui doivent désarmer dans ce port.",1,P6506,C21731
182,"Garde de la Marine. En congé, lèvera 3 bons soldats.",1,P6681,C22188
201,"Médecin âgé de Saint-Jean d'Angle, exilé à Montluçon pour cause de religion. Demande à rentrer chez lui.",1,P8221,C27303
211,Commandera la frégate la Maligne pour garder l'entrée de la rivière de Bordeaux.,1,P8997,C30072
211,Croisera pour attendre l'arrivée des vaisseaux des Îles.,1,P8997,C30073
211,Rejoint sa destination.,1,P8997,C30074
211,A mené à bon port la flotte qu'il avait prise à LA Rochelle.,1,P8997,C30071
214,Commissaire ordinaire des galères à la suite des chaînes. Les lettres de Colbert publiées dans le recueil de M. Clément l'appellent Thibaud du Pathis.,1,P9235,C30718
88,Marchand de La Rochelle. Lui payer 3000 livres.,1,P49,C326
2,Banquier à La Rochelle. Sa femme et ses enfants sont à Amsterdam .,4,P49,C313
2,Sa fille Esther demande un passeport pour rentrer en France. Elle veut demeurer auprès de son père et se faire catholique.,4,P49,C329
2,Armateur de la Vénus.,4,P49,C312
2,"A faire venir de Hollande sa femme et ses deux filles . Si elles ne sont pas catholiques , les faire repartir par le même vaisseau.",4,P49,C310
3,"Donne avis de l'évasion des deux otages hollandais, de la rançon dû à l'armement du feu sieur Duclerc.",4,P49,C314
3,Lettre au ministre.,4,P49,C323
3,Procès verbal de l'évasion des otages.,4,P49,C327
3,Sa femme et ses filles sont mises au couvent et pressées d'abjurer.,4,P49,C328
3,"Le ministre charge l'intendant Beauharnais d'avertir le sieur Allaire que s'il ne change pas de religion, il aura à s'en repentir.",4,P49,C321
3,Affaire de l'armement Duclerc.,4,P49,C311
3,Lettres d'affaires.,4,P49,C325
3,La demoiselle Esther sortira du couvent pour trois mois.,4,P49,C319
3,La demoiselle Esther n'a pas fait ses devoirs de catholique depuis qu'elle de retour à La Rochelle ; la remettre au couvent des nouvelles catholiques de Poitiers.,4,P49,C318
3,Le sieur Allaire continu à réclamer au sujet de l'armement Duclerc.,4,P49,C322
3,Lettres au ministre.,4,P49,C324
3,Il demande un arrêt de surséance.,4,P49,C316
3,"Le Roi lui doit 109472 livres. Il y a de nombreuses faillites à La Rochelle. Il vient d'armer un vaisseau de 300 tonneaux. Sans la surséance, il est ruiné.",4,P49,C320
3,"D’après l’avis de Beauharnais, la surséance lui est refusée.",4,P49,C315
3,Il à fait une saisie sur la rançon du Saint-Joseph.,4,P49,C317
91,"Comte de Castelmoron, lieutenant général aux îles d'Amérique en 1667, mort en 1677. Colbert fait vendre le bâtiment et le bois de Campêche qu'il a envoyé.",1,P243,C2025
91,"Comte de Castelmoron, lieutenant général aux îles d'Amérique en 1667, mort en 1677. Colbert annonce qu'il lui écrit.",1,P243,C2024
92,"Né à Dieppe, capitaine de frégate en 1665, cassé en 1674. Commandera une pinasse destinée aux Indes.",1,P319,C2233
92,Commande la pinasse l'Eléphant. Doit réunir promptement son équipage.,1,P319,C2232
93,"De l'île d'Oléron. Capitaine de frégate en 1666, capitaine de vaisseau en 1675, condamné à mort le 2 septembre 1675 pour avoir rendu la Mutine. Il fut gracié.",1,P349,C2283
94,"Capitaine des gardes. Envoyé à Ceylan en 1671, il retourne en France en juillet 1672.",1,P544,C2686
94,On lui reproche de ne pas avoir exécuté les ordres et d'avoir laissé ruiner Chedabouton par un forban anglais.,1,P544,C2687
94,On lui reproche de ne pas avoir exécuté les ordres et d'avoir laissé ruiner Chedabouton par un forban anglais.,1,P544,C2688
17,"Canonnier, le Ministre lui accorde la haute paie.",7,P544,C2685
95,"Sera lieutenant du capitaine Barbaut, à bord de la pinasse l'Eléphant qui va aux Indes.",1,P595,C2902
95,Doit se presser de réunir les 100 hommes à embarquer sur l'Eléphant.,1,P595,C2901
96,"Directeur de la Chambre des assurances de Paris, inspecteur général des manufactures, résident du duc de Manton à Paris, directeur des compagnies des Indes du Nord et du Levant, poursuivi pour concussion en 1683. Il mourut à Vincennes en 1684. Acccompagna à Paris les envoyés de Comendo comme simples particuliers.",1,P633,C3018
97,"Commissaire général des poudres. Enverra 60 milliers de poudre au Havre, en prévision d'un troisième combat.",1,P754,C3294
97,Commissaire général des poudres. Fournira 50 milliers de poudre pour les magasins de Rochefort.,1,P754,C3295
97,Commissaire général des poudres. Chargé de la recherche du salpêtre en France.,1,P754,C3293
98,Aidera la sieur Belcier à lever 100 soldats pour embarquer sur l'Eléphant.,1,P809,C3415
99,"Capitaine de vaisseau en 1666. Mis à la Bastille en 1675. Part du Havre et se rend aux îles de l'Amérique, avec le vaisseau l'Alcyon et la frégate la Friponne, en passant par Rochefort.",1,P897,C3686
99,N'a pas exécuté l'ordre qu'il avait de relâcher à Saint Antoine.,1,P897,C3688
99,D'Amblimont lui portera les agrès dont il a besoin.,1,P897,C3687
102,Travaille à l'achèvement du magasin des vivres.,1,P1268,C4573
102,Entrepreneur.,1,P1268,C4560
102,Caution du sieur Potier chargé de la fourniture des fers.,1,P1268,C4548
102,Adjudicatiare de travaux.,1,P1268,C4545
24,Caution de marché de J. Dumont pour la fourniture des fers.,2,P1268,C4547
24,Inspecteur des vivres.,2,P1268,C4564
21,Commissaire inspecteur des vivres.,3,P1268,C4554
21,"Doit empêcher qu'on emploi des mauvaises denrées dans la fourniture des vivres, sous peine d'être forcé de se défaire de sa charge.",3,P1268,C4557
21,"Doit empêcher qu'on emploi des mauvaises denrées dans la fourniture des vivres, sous peine d'être forcé de se défaire de sa charge.",3,P1268,C4558
21,"Doit empêcher qu'on emploi des mauvaises denrées dans la fourniture des vivres, sous peine d'être forcé de se défaire de sa charge.",3,P1268,C4559
21,Fournisseur de fers.,3,P1268,C4561
40,Inspecteur des vivres à Rochefort.,4,P1268,C4563
40,Lettre de service.,4,P1268,C4570
40,"Alias Boruyer. Récolet qui a servi d'aumônier sur le vaisseau le Jason, commandé par Duvivier-Thomas. Procès entre eux au sujet de la solde.",4,P1268,C4546
40,Intéressé dans la Compagnie des fers.,4,P1268,C4565
30,"Commissaire chargé du service des vivres, remplacé par le sieur Beccot.",5,P1268,C4552
30,"S'est plaint au conseil que le 1 er janvier, écrivain, ait fait marquer 89 arbres formant une allée qui sert d'ornement à la maison de sa terre de Mortroy en Saintonge, il n'a pas l'intention de la vendre.",5,P1268,C4572
35,"Commissaire inspecteur des vivres de la Marine. Réformé. Obtient l’emploi de commis principal des classes en l’île de Ré, vacant par la mort du sieur Lefèvre.",6,P1268,C4553
35,Informe des dégâts causés par la mer aux ouvrages avancés de l’île de Ré.,6,P1268,C4562
46,"Commis principal des classes à l’île de ré, certificat.",7,P1268,C4550
46,Demande des réparations à la tour des Baleines.,7,P1268,C4556
46,Dangereusement malade remplacé par le sieur Chaninat de Godinières.,7,P1268,C4555
46,Le Ministre lui accorde 200 livres de gratification et va le faire payer de deux années et sept mois qui lui sont dus.,7,P1268,C4566
46,Le Ministre lui accorde 200 livres de gratification et va le faire payer de deux années et sept mois qui lui sont dus.,7,P1268,C4567
46,Le Ministre lui accorde 200 livres de gratification et va le faire payer de deux années et sept mois qui lui sont dus.,7,P1268,C4568
32,Chargé du transport de charbon de terre pour la tour de Chassiron.,9,P1268,C4549
32,Lettre au sujet des feux de la tour des Baleines.,9,P1268,C4569
32,Recevra et transportera 4000 quintaux de charbon de terre d'Angleterre pour la tour des Baleines.,9,P1268,C4571
32,"Commis principal des classes, en l'ile de ré. Décédé.",9,P1268,C4551
102,"Capitaine de brûlot, lieutenant de vaisseau en 1665, capitaine de frégate en 1666, mort en mai 1679. Le faire partir.",1,P1318,C4674
102,"Capitaine de brûlot, lieutenant de vaisseau en 1665, capitaine de frégate en 1666, mort en mai 1679. Le faire partir.",1,P1318,C4675
103,"Commissaire général de la Marine à Toulon en 1666, à Marseille en 1670, au Havre en 1671, intendant général des galères à Marseille en 1675, à Toulon en 1679, à Marseille 1680-1684. Fait partir du Havre une flûte de 400 tonneaux, sous l'escorte du vaissau le Tigre pour aller charger du bois à Bayonne.",1,P1383,C4822
116,A envoyé à Colbert un mémoire sur les îles Dauphine et Bourbon.,1,P2375,C8725
116,"Colbert recevra le sieur de Courbasson et le questionnera au sujet de M. de La Haye qui doit maintenir le poste de [Saint Tomé] si  est possible. De Courbasson a abandonné M. de La Haye, c'est une désertion.",1,P2375,C8726
116,,1,P2415,N5004
44,"Fournisseur, écrit qu'on pourrait tirer d'Auvergne des planches de sapin.",2,P2415,C8815
44,Envoie du chanvre d'Auvergne.,2,P2415,C8813
35,"Ira visiter, près de Moulins, les bois du président du Buisson.",3,P2415,C8816
35,Fournisseur de chanvre. Réclamation.,3,P2415,C8814
64,"Caution du sieur Arnou, fournisseur des chanvres d’Auvergne. A une contestation avec la Marine au sujet du paiement du fret des chanvres refusés.",6,P2415,C8810
64,Devra payer le fret entier de 35349 livres de chanvres refusés.,6,P2415,C8811
75,"Jeune homme de bonne famille qui a fait toutes ces études et qui paraît doué d’une grande volonté, le Ministre lui accorde une place d’élève.",7,P2415,C8817
75,Lettre de recommandation du Ministre : « c’est un sujet d’espérance ».,7,P2415,C8818
76,Nommé écrivain à 480 livres.,7,P2415,C8820
76,Ordre pour servir à Rochefort.,7,P2415,C8821
76,Brevet d’écrivain ordinaire de la marine.,7,P2415,C8809
53,Ecrivain ses appointements seront portés de 480 à 600 livres.,8,P2415,C8812
53,Missionnaire des sauvages au Canada s’est noyé.,8,P2415,C8819
117,,1,P2530,N5221
118,,1,P2533,N5226
118,Le faire partir promptement avec les agrès dont le sieur de Bléor a besoin.,1,P2533,C9136
118,Le faire partir promptement avec les agrès dont le sieur de Bléor a besoin.,1,P2533,C9137
118,Le faire partir promptement avec les agrès dont le sieur de Bléor a besoin.,1,P2533,C9138
118,A mis à la voile pour les îles.,1,P2533,C9131
118,A mis à la voile pour les îles.,1,P2533,C9132
118,Etat des munitions de guerre nécessaires au fort de la Grenade pour le mettre en état de défense.,1,P2533,C9135
118,Etat de ce qui est nécessaire pour la chapelle du fort Royal de la Martinique.,1,P2533,C9133
118,Etat de ce qui est nécessaire pour la chapelle du fort Royal de la Martinique.,1,P2533,C9134
117,"Marquis d'Amblymont, lieutenant de vaisseau en 1663, capitaine en 1669, chef d'escadre en 1693, gouverneur général des Îles en 1700. Commande le vaisseau Les Jeux et part de Brest pour les îles d'Amérique.",1,P2534,C9140
118,Escortera les vaisseaux le Saint Cosme et le Cygne Blanc.,1,P2534,C9139
124,Commissaire de la Marine à Lisbonne.,1,P3014,C10579
124,Expédie des marchandises de Lisbonne.,1,P3014,C10583
124,,1,P3014,N6222
124,Compromis dans l'affaire Bourigaud.,1,P3014,C10580
58,,2,P3014,N6219
46,"Subsistut au présidial de Saintes. A écrit au ministre pur faire interdire le sieur Lisferme, avocat, nouveau converti.",3,P3014,C10584
70,"Enseigne de vaisseau, embarqué sur la flûte La Charente.",5,P3014,C10582
70,Décédé.,5,P3014,C10581
125,Il est de retour sur rade.,1,P3054,C10721
129,,1,P3230,N6710
132,Colbert annonce qu'il lui écrit.,1,P3379,C11886
132,Lieutenant de vaisseau. Embarque sur la Sirène.,1,P3379,C11887
132,Lieutenant de vaisseau. Embarque sur la Sirène.,1,P3379,C11888
133,"Commis contrôleur de la Marine à Rochefort en 1670. Il se chargea ensuite de fournir à la Marine les mâts des Pyrénées, et en juillet 1671 alla surveiller dans les Pyrénées les travaux de ses ouvriers. Il fut commissaire général à Rochefort de 1680 à 1690.",1,P3416,C12010
137,Colbert lui écrit.,1,P3581,C12492
142,,1,P3987,N8586
85,Entrepreneur.,2,P3987,C14348
68,,3,P3987,N8582
68,"Entrepreneur de la Porte royale, à La Rochelle. Accusé de malversations.",3,P3987,C14347
68,A fait des réparations au four et au magasin de Tonnay-Charente.,3,P3987,C14346
68,Réclamation au sujet de la fosse aux mâts.,3,P3987,C14350
68,Lui payer le magasin qu'il a construit à Saint-Nazaire.,3,P3987,C14349
144,"Commandant le vaisseau le Vigilant, en relâche à Lisbonne, n'a pas escorté le vaisseau le Saint-Cosme.",1,P4079,C14691
144,"Commandant le vaisseau le Vigilant, en relâche à Lisbonne, n'a pas escorté le vaisseau le Saint-Cosme.",1,P4079,C14692
144,Démonté de son commandement et envoyé au Château Trompette pour le punir de mauvais mariage qu'il a fait contre la volonté de son père.,1,P4079,C14693
144,Lettre relative à son mariage.,1,P4079,C14697
144,"Le Roi l'autorise à venir à Rochefort voir son père malade, pour tâcher d'obtenir son pardon.",1,P4079,C14694
144,"Le Roi lève son interdiction et lui permet de servir, en attendant que son père puisse lui pardonner.",1,P4079,C14695
144,"Le Roi lève son interdiction et lui permet de servir, en attendant que son père puisse lui pardonner.",1,P4079,C14696
143,"Capitaine de vaisseau le 16 mars 1653, chef d'escadre le 12 décembre 1673, lieutenant général le 1er novembre 1689, mort le 26 mars 1697. Escorte à Rochefort le Saint Cosme et le Cygne Blanc, prises faites par le chevalier de Chateaurenault.",1,P4087,C14710
143,Va arriver au port. Il repartira pour porter des dépêches du Roi à Chateaurenault.,1,P4087,C14723
143,Doit reprendre la mer.,1,P4087,C14712
143,Doit arriver bientôt à Brest.,1,P4087,C14711
143,Pontchartrain le déclare un homme d'expérience et entendu dans le service de la mer.,1,P4087,C14717
143,Le payer pour les soldats qu'il a levés.,1,P4087,C14715
143,Réclame une indemnité pour des maisons qui lui ont été prises pour établir les fortifications de l'île de Ré.,1,P4087,C14720
143,Réclame une indemnité pour des maisons qui lui ont été prises pour établir les fortifications de l'île de Ré.,1,P4087,C14721
143,Plainte de l'aumônier de l'Adroit contre le capitaine Gabaret au sujet du service divin.,1,P4087,C14716
143,L'aumônier de l'Adroit est renvoyé du service de la Marine.,1,P4087,C14714
143,Bégon doit le prévenir de tous les mouvements des bateaux dans le port.,1,P4087,C14709
143,"Informe l'affaire du sieur Bricard, blessé en duel ?",1,P4087,C14713
143,Propose de faire passer les cables dans l'eau salée pour les conserver.,1,P4087,C14718
143,Propose de faire passer les cables dans l'eau salée pour les conserver.,1,P4087,C14719
143,"Veut déshériter son fils, Gabaret d'Angoulins.",1,P4087,C14724
143,"Veut déshériter son fils, Gabaret d'Angoulins.",1,P4087,C14725
143,Sa mort.,1,P4087,C14722
145,Marchand de La Rochelle. Colbert lui a fait payer 30 000 livres sur sa fourniture de chanvre.,1,P4141,C14900
145,Fournira cette année 600 milliers de chanvre.,1,P4141,C14898
145,Le payer aux termes qu'il demande.,1,P4141,C14899
145,Presser sa fourniture.,1,P4141,C14902
145,Presser sa fourniture.,1,P4141,C14903
145,Presser sa fourniture.,1,P4141,C14904
145,S'offre à fournir de la farine pour les îles.,1,P4141,C14906
145,S'offre à fournir de la farine pour les îles.,1,P4141,C14907
145,Demande un passeport pour le navire la Bonne espérance qui va aux îles.,1,P4141,C14897
145,Recevra son passeprort.,1,P4141,C14905
145,Son vaisseau portera de la farine à Cayenne.,1,P4141,C14910
145,Son bâtiment portera des filles à Cayenne.,1,P4141,C14908
145,Son bâtiment portera des filles à Cayenne.,1,P4141,C14909
145,Obtient son passage sur la Charente pour se rendre à la Guadeloupe où il a un établissement.,1,P4141,C14901
149,,1,P4410,N9414
149,Réclame la prise la Fortune.,1,P4410,C15684
93,"Chargé des affaires de la compagnie des Indes orientales, à La Rochelle, se plaint d'être obligé de loger des officiers de troupe parce que ses papiers et son argent ne sont plus en sûreté.",2,P4410,C15674
