page,tome,ID,cID
181,1,P6506,C21731
182,1,P6681,C22188
201,1,P8221,C27303
211,1,P8997,C30072
211,1,P8997,C30073
211,1,P8997,C30074
211,1,P8997,C30071
214,1,P9235,C30718
88,1,P49,C326
2,4,P49,C313
2,4,P49,C329
2,4,P49,C312
2,4,P49,C310
3,4,P49,C314
3,4,P49,C323
3,4,P49,C327
3,4,P49,C328
3,4,P49,C321
3,4,P49,C311
3,4,P49,C325
3,4,P49,C319
3,4,P49,C318
3,4,P49,C322
3,4,P49,C324
3,4,P49,C316
3,4,P49,C320
3,4,P49,C315
3,4,P49,C317
91,1,P243,C2025
91,1,P243,C2024
92,1,P319,C2233
92,1,P319,C2232
93,1,P349,C2283
94,1,P544,C2686
94,1,P544,C2687
94,1,P544,C2688
17,7,P544,C2685
95,1,P595,C2902
95,1,P595,C2901
96,1,P633,C3018
97,1,P754,C3294
97,1,P754,C3295
97,1,P754,C3293
98,1,P809,C3415
99,1,P897,C3686
99,1,P897,C3688
99,1,P897,C3687
102,1,P1268,C4573
102,1,P1268,C4560
102,1,P1268,C4548
102,1,P1268,C4545
24,2,P1268,C4547
24,2,P1268,C4564
21,3,P1268,C4554
21,3,P1268,C4557
21,3,P1268,C4558
21,3,P1268,C4559
21,3,P1268,C4561
40,4,P1268,C4563
40,4,P1268,C4570
40,4,P1268,C4546
40,4,P1268,C4565
30,5,P1268,C4552
30,5,P1268,C4572
35,6,P1268,C4553
35,6,P1268,C4562
46,7,P1268,C4550
46,7,P1268,C4556
46,7,P1268,C4555
46,7,P1268,C4566
46,7,P1268,C4567
46,7,P1268,C4568
32,9,P1268,C4549
32,9,P1268,C4569
32,9,P1268,C4571
32,9,P1268,C4551
102,1,P1318,C4674
102,1,P1318,C4675
103,1,P1383,C4822
116,1,P2375,C8725
116,1,P2375,C8726
116,1,P2415,N5004
44,2,P2415,C8815
44,2,P2415,C8813
35,3,P2415,C8816
35,3,P2415,C8814
64,6,P2415,C8810
64,6,P2415,C8811
75,7,P2415,C8817
75,7,P2415,C8818
76,7,P2415,C8820
76,7,P2415,C8821
76,7,P2415,C8809
53,8,P2415,C8812
53,8,P2415,C8819
117,1,P2530,N5221
118,1,P2533,N5226
118,1,P2533,C9136
118,1,P2533,C9137
118,1,P2533,C9138
118,1,P2533,C9131
118,1,P2533,C9132
118,1,P2533,C9135
118,1,P2533,C9133
118,1,P2533,C9134
117,1,P2534,C9140
118,1,P2534,C9139
124,1,P3014,C10579
124,1,P3014,C10583
124,1,P3014,N6222
124,1,P3014,C10580
58,2,P3014,N6219
46,3,P3014,C10584
70,5,P3014,C10582
70,5,P3014,C10581
125,1,P3054,C10721
129,1,P3230,N6710
132,1,P3379,C11886
132,1,P3379,C11887
132,1,P3379,C11888
133,1,P3416,C12010
137,1,P3581,C12492
142,1,P3987,N8586
85,2,P3987,C14348
68,3,P3987,N8582
68,3,P3987,C14347
68,3,P3987,C14346
68,3,P3987,C14350
68,3,P3987,C14349
144,1,P4079,C14691
144,1,P4079,C14692
144,1,P4079,C14693
144,1,P4079,C14697
144,1,P4079,C14694
144,1,P4079,C14695
144,1,P4079,C14696
143,1,P4087,C14710
143,1,P4087,C14723
143,1,P4087,C14712
143,1,P4087,C14711
143,1,P4087,C14717
143,1,P4087,C14715
143,1,P4087,C14720
143,1,P4087,C14721
143,1,P4087,C14716
143,1,P4087,C14714
143,1,P4087,C14709
143,1,P4087,C14713
143,1,P4087,C14718
143,1,P4087,C14719
143,1,P4087,C14724
143,1,P4087,C14725
143,1,P4087,C14722
145,1,P4141,C14900
145,1,P4141,C14898
145,1,P4141,C14899
145,1,P4141,C14902
145,1,P4141,C14903
145,1,P4141,C14904
145,1,P4141,C14906
145,1,P4141,C14907
145,1,P4141,C14897
145,1,P4141,C14905
145,1,P4141,C14910
145,1,P4141,C14908
145,1,P4141,C14909
145,1,P4141,C14901
149,1,P4410,N9414
149,1,P4410,C15684
93,2,P4410,C15674
93,2,P4410,C15683
105,5,P4410,C15673
105,5,P4410,C15679
105,5,P4410,C15675
105,5,P4410,C15677
105,5,P4410,C15678
124,6,P4410,C15676
125,6,P4410,C15680
125,6,P4410,C15681
125,6,P4410,C15682
125,6,P4410,C15672
149,1,P4432,C15728
149,1,P4432,C15731
149,1,P4432,C15730
149,1,P4432,C15729
151,1,P4660,C16113
151,1,P4660,C16117
77,3,P4660,C16118
77,3,P4660,C16114
77,3,P4660,C16119
124,4,P4660,C16115
124,4,P4660,C16116
110,5,P4660,C16120
261,1,A155,C17076
260,1,A155,C17083
260,1,A155,C17077
260,1,A155,C17080
261,1,A155,C17078
261,1,A155,C17079
261,1,A155,C17081
261,1,A155,C17075
261,1,A155,C17082
222,1,B298,C17831
223,1,B304,C17851
223,1,B304,C17848
223,1,B304,C17850
223,1,B304,C17849
224,1,B316,C17886
224,1,B316,C17887
229,1,B319,C17892
229,1,B320,C17894
229,1,B320,C17895
229,1,B321,C17898
229,1,B321,C17896
229,1,B321,C17897
237,1,B342,C18039
237,1,B346,C18047
237,1,B346,C18048
237,1,B346,C18044
237,1,B346,C18045
237,1,B346,C18046
232,1,B368,C18202
232,1,B368,C18201
234,1,B365,C18196
234,1,B365,C18192
234,1,B365,C18194
234,1,B365,C18195
234,1,B365,C18193
163,1,P5177,C18262
243,1,B388,C18346
246,1,B393,C18612
246,1,B393,C18611
158,1,P5247,C18664
161,1,P5357,C18862
161,1,P5357,C18863
170,1,P5868,C19936
172,1,P5966,C20168
225,1,B406,C20380
225,1,B406,C20379
225,1,B406,C20378
226,1,B411,C20394
228,1,B425,C20427
228,1,B425,C20428
228,1,B425,C20429
232,1,B431,C20452
232,1,B431,C20450
232,1,B431,C20442
232,1,B431,C20443
232,1,B431,C20444
232,1,B431,C20446
232,1,B431,C20451
232,1,B431,C20447
232,1,B431,C20448
232,1,B431,C20449
232,1,B431,C20445
233,1,B436,C20464
233,1,B436,C20463
233,1,B436,C20462
236,1,B447,C20502
236,1,B447,C20503
236,1,B447,C20504
236,1,B447,C20500
236,1,B447,C20501
238,1,B451,C20507
238,1,B451,C20508
238,1,B453,C20510
238,1,B453,C20511
243,1,B482,C20574
243,1,B482,C20573
244,1,B485,C20578
244,1,B485,C20577
244,1,B485,C20580
244,1,B485,C20581
244,1,B485,C20582
244,1,B485,C20579
245,1,B489,C20594
246,1,B496,C20606
247,1,B502,C20626
248,1,B507,C20641
248,1,B507,C20640
238,1,B511,C21142
238,1,B511,C21141
178,1,P6328,C21262
179,1,P6420,C21550
179,1,P6420,C21551
179,1,P6420,C21552
179,1,P6420,C21553
179,1,P6420,C21556
179,1,P6420,C21557
179,1,P6420,C21554
179,1,P6420,C21549
180,1,P6420,C21547
180,1,P6420,C21548
180,1,P6420,C21555
180,1,P6420,C21560
180,1,P6420,C21558
180,1,P6420,C21559
182,1,P6591,C22039
186,1,P6906,C22941
186,1,P6906,C22946
186,1,P6906,C22947
186,1,P6906,C22948
186,1,P6906,C22949
186,1,P6906,C22950
186,1,P6906,C22951
186,1,P6906,C22942
186,1,P6906,C22943
186,1,P6906,C22944
186,1,P6906,C22945
166,5,P6906,C22952
189,1,P7246,C23739
190,1,P7247,C23740
195,1,P7708,C25581
195,1,P7708,C25582
195,1,P7708,C25583
195,1,P7708,C25579
157,2,P7708,N15902
157,2,P7708,C25584
157,2,P7708,C25580
212,1,P9132,N18883
212,1,P9132,C30464
212,1,P9027,C30130
212,1,P9027,C30131
212,1,P9027,C30132
212,1,P9027,C30133
213,5,P9027,C30126
213,5,P9027,C30134
213,5,P9027,C30136
213,5,P9027,C30129
213,5,P9027,C30127
213,5,P9027,C30137
213,5,P9027,C30135
214,5,P9027,C30128
213,1,P9160,C30559
213,1,P9160,C30560
213,1,P9160,C30561
219,1,P9592,C31923
219,1,P9592,C31924
219,1,P9592,C31925
219,1,P9592,C31926
96,1,P1533,C5417
98,1,P867,C3630
221,1,P2454,N5072
128,1,P3163,C11078
50,3,P3163,C11077
138,1,P3730,C13302
104,4,P3730,C13303
145,1,P4179,C15051
71,3,P4179,C15049
71,3,P4179,C15050
130,7,P4179,C15048
91,8,P4179,C15052
243,1,B386,C18322
161,1,P5442,C19083
171,1,P5921,C20029
173,1,P6028,C20304
177,1,P6287,C21151
177,1,P6288,C21152
180,1,P6451,C21610
181,1,P6494,C21717
182,1,P6690,C22205
191,1,P7337,C23940
191,1,P7337,C23941
193,1,P7515,N15375
193,1,P7515,C24396
193,1,P7515,C24397
205,1,P8480,C28243
218,1,P9543,C31851
218,1,P9543,C31852
218,1,P9543,C31853
218,1,P9543,C31849
218,1,P9543,C31850
196,2,P9543,C31841
196,2,P9543,C31842
196,2,P9543,C31843
196,2,P9543,C31844
196,2,P9543,C31847
196,2,P9543,C31846
196,2,P9543,C31845
196,2,P9543,C31848
220,1,P9758,C32327
88,1,P25,C163
89,1,P88,C457
89,1,P88,C458
89,1,P88,C459
92,1,P320,C2234
93,1,P351,C2285
94,1,P444,C2492
94,1,P444,C2488
11,6,P444,C2490
11,6,P444,C2484
9,7,P444,C2487
14,7,P444,C2489
14,7,P444,C2491
9,7,P444,C2486
9,8,P444,C2485
94,1,P537,C2669
94,1,P537,C2670
95,1,P1498,C5172
95,1,P1498,C5173
100,1,P1082,N2225
100,1,P1082,N2226
100,1,P1082,N2227
100,1,P1082,N2228
100,1,P1082,N2229
100,1,P1148,C4305
100,1,P1148,C4306
105,1,P1677,C5760
105,1,P1677,C5759
106,1,P1743,C5909
107,1,P1798,C6001
108,1,P1824,C6221
108,1,P1824,C6222
108,1,P1824,C6223
108,1,P1824,C6227
108,1,P1824,C6224
108,1,P1824,C6225
108,1,P1824,C6226
42,9,P1824,N3693
42,9,P1824,N3694
42,9,P1824,N3695
111,1,P1994,C6710
111,1,P1994,C6711
111,1,P1994,C6712
116,1,P2455,C8902
120,1,P2574,C9240
119,1,P2726,C9743
121,1,P2834,C10065
85,7,P2834,C10064
85,7,P2834,C10066
85,7,P2834,C10063
85,7,P2834,C10067
122,1,P2901,C10208
128,1,P3118,C10958
129,1,P3233,C11342
129,1,P3233,C11346
130,1,P3233,C11347
130,1,P3233,C11343
130,1,P3233,C11345
130,1,P3233,C11340
130,1,P3233,C11344
66,2,P3233,C11341
66,2,P3233,C11349
66,2,P3233,C11339
66,2,P3233,C11348
66,2,P3233,C11350
86,4,P3233,N6717
78,5,P3233,C11351
134,1,P3464,C12111
134,1,P3464,C12115
134,1,P3464,C12116
134,1,P3464,C12108
134,1,P3464,C12109
134,1,P3464,C12110
134,1,P3464,N7274
134,1,P3464,C12112
134,1,P3464,C12113
134,1,P3464,C12114
149,1,P4401,C15617
94,7,P4401,C15630
138,7,P4401,C15619
138,7,P4401,C15621
138,7,P4401,C15616
138,7,P4401,C15615
138,7,P4401,C15620
138,7,P4401,C15614
138,7,P4401,C15624
94,8,P4401,C15626
94,8,P4401,C15628
94,8,P4401,C15629
94,8,P4401,C15627
99,9,P4401,C15618
99,9,P4401,C15625
99,9,P4401,C15613
99,9,P4401,C15622
99,9,P4401,C15623
149,1,P4423,C15711
74,3,P4423,C15712
74,3,P4423,C15713
74,3,P4423,C15714
74,3,P4423,C15718
74,3,P4423,C15715
74,3,P4423,C15716
74,3,P4423,C15717
151,1,P4634,C16083
155,1,P4878,C16665
101,2,P4878,C16668
129,4,P4878,C16667
113,5,P4878,C16666
135,6,P4878,C16669
135,6,P4878,C16670
155,1,P4991,C17409
155,1,P4991,C17410
224,1,B312,C17877
224,1,B312,C17875
224,1,B312,C17876
224,1,B312,C17874
229,1,B322,C17903
229,1,B322,C17904
229,1,B322,C17900
229,1,B322,C17901
229,1,B322,C17902
229,1,B322,C17905
229,1,B322,C17906
229,1,B322,C17907
229,1,B322,C17899
229,1,B322,C17908
231,1,B337,C18015
231,1,B337,C18011
231,1,B337,C18012
231,1,B337,C18013
231,1,B337,C18014
231,1,B337,C18009
231,1,B337,C18010
227,1,B357,C18167
238,1,B376,C18281
238,1,B376,C18282
242,1,B384,N11131
242,1,B384,C18306
242,1,B384,C18307
242,1,B384,C18308
242,1,B384,C18309
159,1,P5292,N11349
159,1,P5292,N11350
159,1,P5292,C18743
159,1,P5292,C18744
159,1,P5292,C18745
159,1,P5292,C18746
159,1,P5292,C18747
159,1,P5292,C18748
160,1,P5334,C18826
161,1,P5375,C18897
161,1,P5375,C18895
124,5,P5375,C18896
124,5,P5375,C18898
163,1,P5504,C19262
164,1,P5544,C19334
164,1,P5544,C19335
164,1,P5562,C19372
165,1,P5675,N11936
165,1,P5675,C19566
165,1,P5675,C19567
166,1,P5706,C19616
166,1,P5706,C19619
166,1,P5706,C19618
167,1,P5706,C19624
167,1,P5706,C19625
167,1,P5706,C19626
167,1,P5706,C19627
167,1,P5706,C19629
167,1,P5706,C19628
167,1,P5706,C19622
167,1,P5706,C19623
167,1,P5706,C19620
167,1,P5706,C19621
167,1,P5706,C19617
167,1,P5718,C19647
123,7,P5718,C19649
123,7,P5718,C19648
123,7,P5718,C19650
123,7,P5718,C19652
123,8,P5718,C19651
123,8,P5718,C19653
168,1,P5763,C19746
168,1,P5763,C19747
168,1,P5763,C19749
168,1,P5763,C19748
169,1,P5805,C19808
169,1,P5809,C19820
169,1,P5809,C19821
169,1,P5809,C19818
169,1,P5809,C19817
169,1,P5809,C19816
169,1,P5809,C19819
169,1,P5809,C19822
169,1,P5809,C19823
169,1,P5809,C19824
169,1,P5809,C19825
170,1,P5855,C19920
173,1,P6050,C20328
173,1,P6074,C20358
174,1,P6074,C20357
174,1,P6074,C20362
174,1,P6074,C20361
174,1,P6074,C20360
174,1,P6074,C20359
174,1,P6074,C20355
174,1,P6074,C20356
226,1,B410,C20393
226,1,B410,C20391
226,1,B410,C20392
226,1,B410,C20389
226,1,B410,C20390
228,1,B423,C20417
228,1,B423,C20418
228,1,B423,C20419
228,1,B423,C20420
228,1,B423,C20421
228,1,B423,C20416
228,1,B423,C20415
232,1,B433,C20457
232,1,B433,C20458
232,1,B433,C20455
232,1,B433,C20456
240,1,B465,N12673
240,1,B465,C20527
240,1,B465,C20528
240,1,B465,C20529
246,1,B494,N12739
246,1,B494,N12740
246,1,B494,C20600
246,1,B494,N12742
246,1,B494,C20601
246,1,B503,C20631
246,1,B503,C20629
246,1,B503,C20630
246,1,B503,C20627
246,1,B503,C20628
174,1,P6126,C20765
175,1,P6161,C20870
125,2,P6161,C20864
125,2,P6161,C20868
125,2,P6161,C20869
125,2,P6161,C20867
125,2,P6161,C20865
101,3,P6161,C20866
101,3,P6161,C20863
149,5,P6161,N12942
149,5,P6161,N12943
179,1,P6399,C21360
180,1,P6425,C21565
180,1,P6425,C21566
180,1,P6453,N13461
180,1,P6480,C21690
183,1,P6718,C22297
183,1,P6718,C22294
183,1,P6718,C22295
183,1,P6718,C22296
184,1,P6807,C22604
184,1,P6809,C22608
184,1,P6810,C22612
184,1,P6810,C22611
184,1,P6810,C22609
184,1,P6810,C22613
184,1,P6810,C22610
186,1,P6911,C22956
188,1,P7089,C23394
188,1,P7089,C23392
188,1,P7089,C23393
188,1,P7089,C23391
188,1,P7089,C23396
188,1,P7089,C23390
188,1,P7089,C23395
189,1,P7241,C23735
201,1,P8264,C27442
201,1,P8264,C27443
201,1,P8264,C27444
201,1,P8264,C27445
201,1,P8264,C27446
204,1,P8398,C27735
204,1,P8398,C27723
204,1,P8398,C27733
204,1,P8398,C27725
172,2,P8398,C27724
137,3,P8398,C27729
137,3,P8398,C27734
137,3,P8398,C27726
137,3,P8398,C27727
137,3,P8398,C27736
137,3,P8398,C27731
137,3,P8398,C27732
220,4,P8398,C27730
220,4,P8398,C27737
220,4,P8398,C27728
209,1,P8699,C29118
209,1,P8699,C29114
210,1,P8699,C29120
210,1,P8699,C29113
210,1,P8699,C29115
210,1,P8699,C29119
210,1,P8699,C29117
210,1,P8699,C29116
210,1,P8699,C29121
211,1,P9136,C30479
211,1,P9136,C30477
211,1,P9136,C30478
212,1,P9049,N18695
213,1,P9197,C30659
217,1,P9423,C31491
220,1,P9784,C32383
221,1,P9808,C32489
95,1,P1510,C5310
95,1,P1510,C5308
95,1,P1510,C5311
95,1,P1510,C5303
95,1,P1510,C5314
95,1,P1510,C5313
95,1,P1510,C5304
95,1,P1510,C5307
95,1,P1510,C5305
95,1,P1510,C5309
95,1,P1510,C5306
95,1,P1510,C5312
96,1,P680,C3172
97,1,P767,C3322
97,1,P767,C3323
97,1,P767,C3324
25,4,P767,C3320
25,4,P767,C3318
25,4,P767,C3325
26,4,P767,C3319
25,4,P767,C3316
25,4,P767,C3328
23,6,P767,C3321
18,9,P767,C3317
18,9,P767,C3326
18,9,P767,C3327
99,1,P1546,C5455
100,1,P1121,C4190
102,1,P1257,N2550
102,1,P1257,C4525
102,1,P1257,C4526
102,1,P1257,C4527
102,1,P1257,C4528
102,1,P1257,C4529
24,2,P1257,N2549
106,1,P1733,C5883
106,1,P1733,C5884
106,1,P1733,C5885
106,1,P1733,C5886
106,1,P1733,C5887
106,1,P1733,C5888
119,1,P2550,C9168
125,1,P2597,N5365
125,1,P2597,N5366
125,1,P2597,C9345
119,1,P2698,N5562
119,1,P2713,C9722
119,1,P2713,C9723
119,1,P2713,C9724
119,1,P2713,C9726
119,1,P2713,C9727
119,1,P2713,C9721
119,1,P2713,C9725
122,1,P3646,C12732
124,1,P2982,C10473
124,1,P2982,C10470
124,1,P2982,C10471
124,1,P2982,C10468
78,4,P2982,C10467
90,7,P2982,C10466
90,7,P2982,C10472
90,7,P2982,C10469
90,7,P2982,C10465
130,1,P3272,C11490
131,1,P3272,C11500
131,1,P3272,C11491
131,1,P3272,C11492
131,1,P3272,C11486
130,1,P3272,C11496
131,1,P3272,C11481
131,1,P3272,C11482
131,1,P3272,C11502
68,2,P3272,C11503
68,2,P3272,C11504
68,2,P3272,C11480
68,2,P3272,C11493
68,2,P3272,C11497
68,2,P3272,C11501
68,2,P3272,C11495
68,2,P3272,C11488
68,2,P3272,C11489
68,2,P3272,C11476
51,3,P3272,C11479
51,3,P3272,C11483
51,3,P3272,C11505
51,3,P3272,C11498
51,3,P3272,C11478
51,3,P3272,C11487
51,3,P3272,C11477
52,3,P3272,C11471
52,3,P3272,C11472
51,3,P3272,C11499
87,4,P3272,N6812
87,4,P3272,C11484
87,4,P3272,C11485
87,4,P3272,C11494
87,4,P3272,C11473
87,4,P3272,C11474
87,4,P3272,C11475
132,1,P3359,C11844
132,1,P3359,C11845
137,1,P3590,C12522
137,1,P3590,C12523
139,1,P3824,C13562
139,1,P3824,C13558
139,1,P3824,N8173
139,1,P3824,C13556
139,1,P3824,C13569
139,1,P3824,C13570
139,1,P3824,C13571
139,1,P3824,C13568
139,1,P3824,C13566
139,1,P3824,C13567
139,1,P3824,C13557
139,1,P3824,C13560
140,1,P3824,N8177
140,1,P3824,C13565
82,2,P3824,C13561
82,2,P3824,C13564
82,2,P3824,C13572
82,2,P3824,C13574
82,2,P3824,C13573
82,2,P3824,C13563
82,2,P3824,C13559
140,1,P3926,C14169
148,1,P4354,C15409
148,1,P4354,C15410
148,1,P4354,C15404
148,1,P4354,C15405
148,1,P4354,C15406
148,1,P4354,C15407
148,1,P4354,C15408
92,2,P4354,N9268
157,1,P5028,N10616
157,1,P5097,C17819
224,1,B314,C17882
224,1,B314,C17879
224,1,B314,C17880
224,1,B314,C17881
230,1,B325,C17922
230,1,B325,C17923
230,1,B325,C17924
230,1,B325,C17921
230,1,B325,C17925
237,1,B340,C18032
237,1,B340,C18033
237,1,B340,C18034
226,1,B354,C18094
226,1,B354,C18096
226,1,B354,C18097
226,1,B354,C18095
226,1,B354,C18093
228,1,B360,C18171
228,1,B360,C18172
228,1,B360,C18173
232,1,B362,N11034
235,1,B369,C18205
235,1,B369,C18206
235,1,B369,C18207
235,1,B369,C18211
235,1,B369,C18203
235,1,B369,C18208
235,1,B369,C18204
235,1,B369,C18209
235,1,B369,C18210
239,1,B375,C18275
239,1,B375,C18276
239,1,B375,C18277
239,1,B375,C18278
239,1,B375,C18279
239,1,B375,C18272
239,1,B375,C18273
239,1,B375,C18274
239,1,B375,C18280
162,1,P5439,C19075
162,1,P5439,C19076
165,1,P5679,C19571
169,1,P5768,C19753
172,1,P5959,N12362
172,1,P5998,C20221
227,1,B416,C20400
227,1,B416,C20401
227,1,B416,C20402
227,1,B416,C20403
227,1,B416,C20404
227,1,B421,C20411
227,1,B421,C20412
227,1,B421,C20413
227,1,B421,C20414
228,1,B427,C20430
229,1,B429,N12599
229,1,B429,N12600
235,1,B443,C20485
235,1,B443,C20486
235,1,B443,C20492
235,1,B443,C20493
235,1,B443,C20487
235,1,B443,C20490
235,1,B443,C20491
235,1,B443,C20488
235,1,B443,C20489
236,1,B444,C20494
236,1,B444,C20495
236,1,B446,C20499
236,1,B446,C20498
236,1,B446,C20497
244,1,B486,C20588
244,1,B486,C20589
244,1,B486,C20585
244,1,B486,C20586
244,1,B486,C20584
244,1,B486,C20583
244,1,B486,C20587
246,1,B495,C20603
246,1,B495,C20604
246,1,B495,C20605
246,1,B495,C20602
248,1,B506,C20638
248,1,B506,C20639
248,1,B506,C20637
248,1,B506,C20635
248,1,B506,C20636
174,1,P6115,N12853
174,1,P6115,N12854
123,2,P6115,C20742
123,2,P6115,C20744
123,2,P6115,C20738
100,3,P6115,C20743
154,4,P6115,C20739
154,4,P6115,C20745
154,4,P6115,C20741
154,4,P6115,C20737
146,5,P6115,N12850
182,7,P6115,C20740
177,1,P6324,C21234
128,2,P6324,C21239
128,2,P6324,C21235
104,3,P6324,C21240
160,4,P6324,N13237
160,4,P6324,N13238
160,4,P6324,C21250
160,4,P6324,C21241
160,4,P6324,C21249
160,4,P6324,C21246
153,5,P6324,C21244
153,5,P6324,C21245
153,5,P6324,C21232
153,5,P6324,C21238
153,5,P6324,C21242
171,6,P6324,C21233
136,8,P6324,C21243
142,9,P6324,C21248
142,9,P6324,C21236
142,9,P6324,C21247
142,9,P6324,C21237
181,1,P6501,N13546
181,1,P6501,N13547
181,1,P6501,N13548
181,1,P6501,N13549
181,1,P6516,C21767
181,1,P6516,C21768
181,1,P6516,C21769
181,1,P6516,C21766
181,1,P6516,C21763
181,1,P6516,C21764
181,1,P6516,C21765
182,1,P6622,C22086
190,1,P7258,C23748
192,1,P7483,N15330
192,1,P7483,N15331
192,1,P7483,C24348
192,1,P7483,C24345
192,1,P7483,C24347
192,1,P7483,C24349
192,1,P7483,C24344
192,1,P7483,C24346
195,1,P7762,C25681
195,1,P8133,C27038
198,4,P8133,C27036
198,4,P8133,C27037
198,4,P8133,C27033
206,6,P8133,C27035
226,7,P8133,C27034
198,1,P7963,C26191
198,1,P7963,C26192
198,1,P7984,C26259
198,1,P7984,C26257
198,1,P7984,C26258
198,1,P7984,C26266
198,1,P7984,C26260
198,1,P7984,C26261
198,1,P7984,C26262
198,1,P7984,C26263
198,1,P7984,C26264
198,1,P7984,C26265
163,2,P7984,N16378
163,2,P7984,N16379
199,1,P8005,N16440
201,1,P8177,C27111
201,1,P8177,C27112
201,1,P8177,C27113
201,1,P8177,C27114
201,1,P8177,C27115
210,4,P8177,C27109
210,4,P8177,C27110
210,4,P8177,C27127
210,4,P8177,C27106
210,4,P8177,C27123
210,4,P8177,C27117
210,4,P8177,C27104
210,4,P8177,C27125
210,4,P8177,C27118
210,4,P8177,C27122
210,4,P8177,C27126
216,6,P8177,C27107
216,6,P8177,C27105
216,6,P8177,C27119
216,6,P8177,C27124
216,6,P8177,C27120
216,6,P8177,C27121
173,8,P8177,C27116
173,8,P8177,C27108
203,1,P8310,N17112
193,5,P8310,C27532
203,1,P8384,C27699
203,1,P8384,C27700
203,1,P8384,C27701
203,1,P8384,C27702
203,1,P8384,C27703
203,1,P8384,C27704
171,2,P8384,C27705
171,2,P8384,C27706
171,2,P8384,C27707
137,3,P8384,N17221
137,3,P8384,C27698
206,1,P8497,C28269
198,5,P8497,C28267
198,5,P8497,C28268
217,1,P9413,C31470
217,1,P9467,C31665
89,1,P67,N190
252,1,A29,C1881
252,1,A29,C1882
252,1,A29,C1928
252,1,A29,C1902
252,1,A29,C1903
187,3,A29,C1929
187,3,A29,C1907
187,3,A29,C1896
187,3,A29,C1893
187,3,A29,C1931
187,3,A29,C1930
188,3,A29,C1874
188,3,A29,C1873
188,3,A29,C1876
188,3,A29,C1897
188,3,A29,C1916
288,4,A29,C1900
288,4,A29,C1910
288,4,A29,C1875
288,4,A29,C1878
288,4,A29,C1879
288,4,A29,C1883
288,4,A29,C1909
288,4,A29,C1894
288,4,A29,C1885
288,4,A29,C1886
279,5,A29,C1915
279,5,A29,C1924
279,5,A29,C1884
280,5,A29,C1919
280,5,A29,C1926
280,5,A29,C1877
280,5,A29,C1927
280,5,A29,N663
280,5,A29,C1904
280,5,A29,C1889
280,5,A29,C1898
281,5,A29,C1895
281,5,A29,C1906
281,5,A29,C1905
307,6,A29,C1914
307,6,A29,C1892
307,6,A29,C1920
307,6,A29,C1923
307,6,A29,C1891
307,6,A29,C1918
308,6,A29,C1913
308,6,A29,C1921
308,6,A29,C1917
308,6,A29,C1901
308,6,A29,C1888
308,6,A29,C1887
308,6,A29,C1908
308,6,A29,C1890
309,6,A29,C1911
309,6,A29,C1899
309,6,A29,C1880
