page	contenu	tome	ID	cID	lieu	test_lieu
125	Comte d'Estrées, premier baron du Boulonais. Né en 1624, mort le 19 mai 1707, chevalier des ordres du Roi 1688, maréchal le 26 mars 1681, duc et pair de France, vice-roi de l'Amérique, gouverneur de Bretagne. Marié en 1658 à Marie-Marguerite Morin, morte en 1714. Il avait été fait vice-amiral du Ponant le 12 novembre 1669. L'escadre commandée par M. le comte d'Esrtées a quitté la Tamise depuis quelques jours et ses vaisseaux armés à Rochefort viendront bientôt y désarmer.	1	P2851	C10555	['Boulonais', 'France', 'Amérique', 'Bretagne', 'Ponant', 'Tamise', 'Rochefort']	Boulonais,France,Amérique,Bretagne,Ponant,Tamise,Rochefort
125	Commandera la prochaine expédition contre Alger.	1	P2851	C10553	['Alger']	Alger
125	Commandera la prochaine expédition contre Alger.	1	P2851	C10554	['Alger']	Alger
125	A fait établir des batteries sur les côtes.	1	P2851	C10552	['A']	A
123	Chevalier Desclouzeaux. Commissaire ordinaire en 1634, à Rochefort en 1670, commissaire général en 1675, au Havre en 1676, à Dunkerque en 1679, intendant de l'escadre envoyée en Danemark en 1683, intendant des armées navales du Ponant au port de Brest en décembre 1683, mort le 16 mai 1701. Reçoit la correspondance de la Cour en l'absence de Colbert du Terron, du 23 septembre 1672 au 12 juin 1673.	1	P3257	C11707	['Rochefort', 'Havre', 'Dunkerque', 'Danemark', 'Ponant', 'Brest']	Rochefort,Havre,Dunkerque,Danemark,Ponant,Brest
123	Enrolera des matelots dans l'Aunis.	1	P3257	C11710	['Aunis']	Aunis
123	Enrolera des matelots dans l'Aunis.	1	P3257	C11711	['Aunis']	Aunis
123	Enrolera des matelots dans l'Aunis.	1	P3257	C11712	['Aunis']	Aunis
123	Enrolera des matelots dans l'Aunis.	1	P3257	C11713	['Aunis']	Aunis
124	Demande 6000 bombes pour Brest.	1	P3257	C11708	['Brest']	Brest
124	Demande 6000 bombes pour Brest.	1	P3257	C11709	['Brest']	Brest
133	Né au Havre. Capitaine en 1627, chef d'escadre en 1643, remis capitaine en 1661, mort en février 1673. Colbert du Terron écrivait le 24 août : Si cet homme avait de l'esprit, il serait bon procureur, mais pour homme de guerre, il ne le sera jamais. Seignelay écrit que le Roi est surpris que cet officier ne soit pas encore parti avec ses vaisseaux.	1	P3757	C13452	['Havre']	Havre
134	Commissaire aux conduites des chaînes. Reçoit l'ordre de conduire 36 turcs aux galères de Marseille.	1	P3779	C13499	['Marseille']	Marseille
157	Le Roi veut que Mme de Jugné qui n'est pas bonne catholique, se retire immédiatement de la terre de Marennes qui ne lui appartient plus.	1	P5579	C20247	['Marennes']	Marennes
158	Antoine Lefebvre de La Barre, maître des requêtes, intendant de Paris, conseiller d'Etat, fut nommé en 1663, gouverneur du Canada, capitaine de vaisseau en 1671. On donnait alors une galère ou un vaisseau comme on aurait donné un bénéfice, mais il était plus rare de voir des magistrats les monter ou les commander. La Barre avait commandé, dès 1667, quatorze vaisseaux pour la Compagnie des Indes orientales ; en 1682 il fut gouverneur du Canada, en 1687 gouverneur de Cayenne. Il mourut le 3 septembre 1690. On va joindre à son escadre le vaisseau le Tigre.	1	P5730	C21362	['Paris', 'Etat', 'Canada', 'Canada', 'Cayenne']	Paris,Etat,Canada,Canada,Cayenne
167	Né en 1649, enseigne de vaisseau en 1670, capitaine en 1671, chef d'escadre en 1689, lieutenant général en 1697, mort à Sceaux en 1711, commandeur de l'ordre de Saint Louis en 1707. Il avait beaucoup de hauteur et traitait Du Quesne d'homme de rien. On l'accusait de s'adonner au vin. Il aassista à 17 batailles, et Seignelay disait de lui en 1673 : C'est un garçon qui a envie de faire et qui a beaucoup de valeur. Cependant, M. de Combes l'accusait en 1701 d'être un vrai malhonnête homme et capable de toute méchanceté et malin subtil et il ajoutait : il est presqu'impossible qu'un homme qui a été obligé de se justifier tant de fois puisse valoir quelque chose. Nommé au commandement du vaisseau le Tigre, il est remplacé par M. de La Clocheterie, par ordre du Roi.	1	P6240	C22689	['Sceaux', 'Tigre']	Sceaux,Tigre
167	Né en 1649, enseigne de vaisseau en 1670, capitaine en 1671, chef d'escadre en 1689, lieutenant général en 1697, mort à Sceaux en 1711, commandeur de l'ordre de Saint Louis en 1707. Il avait beaucoup de hauteur et traitait Duquesne d'homme de rien. On l'accusait de s'adonner au vin. Il aassista à 17 batailles, et Seignelay disait de lui en 1673 : C'est un garçon qui a envie de faire et qui a beaucoup de valeur. Cependant, M. de Combes l'accusait en 1701 d'être un vrai malhonnête homme et capable de toute méchanceté et malin subtil et il ajoutait : il est presqu'impossible qu'un homme qui a été oobliégé de se justifier tant de fois puisse valoir quelque chose. Nommé au commandement du vaisseau le Tigre, il est remplacé par M. de La Clocheterie, par ordre du Roi.	1	P6240	C22690	['Sceaux', 'Tigre']	Sceaux,Tigre
168	Capitaine de vaisseau, noyé dans le naufrage du vaisseau le Juste, dans la rivière de Lisbonne, 1673.	1	P6258	C22755	['Lisbonne']	Lisbonne
168	Capitaine d'artillerie de Rochefort. Doit 541 livres au sieur Le Roy, marchand au Havre. Retenir cette somme sur ses appointements.	1	P6258	C22754	['Rochefort', 'Havre']	Rochefort,Havre
168	Capitaine d'artillerie de Rochefort. Demande à faire habiller, de même parure, les compagnies des apprentis canonniers ; ils consentent à donner 4 livres par mois.	1	P6258	C22753	['Rochefort']	Rochefort
181	1641-1691. Ministre d'Etat, 1677. Envoie des ordres pour faire mettre en quartier d'hiver dans les villes et lieux voisins de Rochefort, 1200 soldats des équipages des vaisseaux qui doivent désarmer dans ce port.	1	P7075	C25892	['Rochefort']	Rochefort
201	Médecin âgé de Saint-Jean d'Angle, exilé à Montluçon pour cause de religion. Demande à rentrer chez lui.	1	P8974	C32528	['Montluçon']	Montluçon
211	Commandera la frégate la Maligne pour garder l'entrée de la rivière de Bordeaux.	1	P9815	C35901	['Bordeaux']	Bordeaux
211	Croisera pour attendre l'arrivée des vaisseaux des Îles.	1	P9815	C35902	['Îles']	Îles
211	A mené à bon port la flotte qu'il avait prise à LA Rochelle.	1	P9815	C35900	['LA Rochelle']	LA Rochelle
88	Marchand de La Rochelle. Lui payer 3000 livres.	1	P50	C408	['La Rochelle']	La Rochelle
2	Banquier à La Rochelle. Sa femme et ses enfants sont à Amsterdam .	4	P50	C395	['La Rochelle', 'Amsterdam']	La Rochelle,Amsterdam
2	Sa fille Esther demande un passeport pour rentrer en France. Elle veut demeurer auprès de son père et se faire catholique.	4	P50	C411	['France']	France
2	A faire venir de Hollande sa femme et ses deux filles . Si elles ne sont pas catholiques , les faire repartir par le même vaisseau.	4	P50	C392	['Hollande']	Hollande
3	La demoiselle Esther n'a pas fait ses devoirs de catholique depuis qu'elle de retour à La Rochelle ; la remettre au couvent des nouvelles catholiques de Poitiers.	4	P50	C400	['La Rochelle', 'Poitiers']	La Rochelle,Poitiers
3	Le Roi lui doit 109472 livres. Il y a de nombreuses faillites à La Rochelle. Il vient d'armer un vaisseau de 300 tonneaux. Sans la surséance, il est ruiné.	4	P50	C402	['La Rochelle']	La Rochelle
3	Il à fait une saisie sur la rançon du Saint-Joseph.	4	P50	C399	['Saint-Joseph']	Saint-Joseph
91	Comte de Castelmoron, lieutenant général aux îles d'Amérique en 1667, mort en 1677. Colbert fait vendre le bâtiment et le bois de Campêche qu'il a envoyé.	1	P271	C2217	"[""îles d'Amérique"", 'Campêche']"	îles d'Amérique,Campêche
91	Comte de Castelmoron, lieutenant général aux îles d'Amérique en 1667, mort en 1677. Colbert annonce qu'il lui écrit.	1	P271	C2216	"[""îles d'Amérique""]"	îles d'Amérique
92	Né à Dieppe, capitaine de frégate en 1665, cassé en 1674. Commandera une pinasse destinée aux Indes.	1	P353	C2454	['Dieppe', 'Indes']	Dieppe,Indes
93	De l'île d'Oléron. Capitaine de frégate en 1666, capitaine de vaisseau en 1675, condamné à mort le 2 septembre 1675 pour avoir rendu la Mutine. Il fut gracié.	1	P385	C2513	"[""île d'Oléron""]"	île d'Oléron
94	Capitaine des gardes. Envoyé à Ceylan en 1671, il retourne en France en juillet 1672.	1	P606	C3054	['Ceylan', 'France']	Ceylan,France
95	Sera lieutenant du capitaine Barbaut, à bord de la pinasse l'Eléphant qui va aux Indes.	1	P660	C3291	['Indes']	Indes
95	Doit se presser de réunir les 100 hommes à embarquer sur l'Eléphant.	1	P660	C3290	['Eléphant']	Eléphant
96	Directeur de la Chambre des assurances de Paris, inspecteur général des manufactures, résident du duc de Manton à Paris, directeur des compagnies des Indes du Nord et du Levant, poursuivi pour concussion en 1683. Il mourut à Vincennes en 1684. Acccompagna à Paris les envoyés de Comendo comme simples particuliers.	1	P702	C3413	['Paris', 'Paris', 'Indes du Nord', 'Levant', 'Vincennes', 'Paris']	Paris,Paris,Indes du Nord,Levant,Vincennes,Paris
97	Commissaire général des poudres. Enverra 60 milliers de poudre au Havre, en prévision d'un troisième combat.	1	P835	C3740	['Havre']	Havre
97	Commissaire général des poudres. Fournira 50 milliers de poudre pour les magasins de Rochefort.	1	P835	C3741	['Rochefort']	Rochefort
97	Commissaire général des poudres. Chargé de la recherche du salpêtre en France.	1	P835	C3739	['France']	France
98	Aidera la sieur Belcier à lever 100 soldats pour embarquer sur l'Eléphant.	1	P901	C3887	['Eléphant']	Eléphant
99	Capitaine de vaisseau en 1666. Mis à la Bastille en 1675. Part du Havre et se rend aux îles de l'Amérique, avec le vaisseau l'Alcyon et la frégate la Friponne, en passant par Rochefort.	1	P993	C4204	['la Bastille', 'Part du Havre', 'Amérique', 'Rochefort']	la Bastille,Part du Havre,Amérique,Rochefort
99	N'a pas exécuté l'ordre qu'il avait de relâcher à Saint Antoine.	1	P993	C4206	['Saint Antoine']	Saint Antoine
102	Adjudicatiare de travaux.	1	P1391	C5204	['Adjudicatiare']	Adjudicatiare
40	Inspecteur des vivres à Rochefort.	4	P1391	C5222	['Rochefort']	Rochefort
30	S'est plaint au conseil que le 1 er janvier, écrivain, ait fait marquer 89 arbres formant une allée qui sert d'ornement à la maison de sa terre de Mortroy en Saintonge, il n'a pas l'intention de la vendre.	5	P1391	C5231	['Mortroy', 'Saintonge']	Mortroy,Saintonge
35	Commissaire inspecteur des vivres de la Marine. Réformé. Obtient l’emploi de commis principal des classes en l’île de Ré, vacant par la mort du sieur Lefèvre.	6	P1391	C5212	['île de Ré']	île de Ré
35	Informe des dégâts causés par la mer aux ouvrages avancés de l’île de Ré.	6	P1391	C5221	['Ré.']	Ré.
46	Demande des réparations à la tour des Baleines.	7	P1391	C5215	['tour des Baleines']	tour des Baleines
32	Chargé du transport de charbon de terre pour la tour de Chassiron.	9	P1391	C5208	['tour de Chassiron']	tour de Chassiron
32	Lettre au sujet des feux de la tour des Baleines.	9	P1391	C5228	['tour des Baleines']	tour des Baleines
32	Recevra et transportera 4000 quintaux de charbon de terre d'Angleterre pour la tour des Baleines.	9	P1391	C5230	['Angleterre', 'tour des Baleines']	Angleterre,tour des Baleines
103	Commissaire général de la Marine à Toulon en 1666, à Marseille en 1670, au Havre en 1671, intendant général des galères à Marseille en 1675, à Toulon en 1679, à Marseille 1680-1684. Fait partir du Havre une flûte de 400 tonneaux, sous l'escorte du vaissau le Tigre pour aller charger du bois à Bayonne.	1	P1519	C5547	['Toulon', 'Marseille', 'Havre', 'Marseille', 'Toulon', 'Marseille', 'Havre', 'Tigre', 'Bayonne']	Toulon,Marseille,Havre,Marseille,Toulon,Marseille,Havre,Tigre,Bayonne
116	A envoyé à Colbert un mémoire sur les îles Dauphine et Bourbon.	1	P2610	C9870	['îles Dauphine', 'Bourbon']	îles Dauphine,Bourbon
116	Colbert recevra le sieur de Courbasson et le questionnera au sujet de M. de La Haye qui doit maintenir le poste de [Saint Tomé] si  est possible. De Courbasson a abandonné M. de La Haye, c'est une désertion.	1	P2610	C9871	['Courbasson']	Courbasson
44	Fournisseur, écrit qu'on pourrait tirer d'Auvergne des planches de sapin.	2	P2656	C9978	['Auvergne']	Auvergne
44	Envoie du chanvre d'Auvergne.	2	P2656	C9976	['Auvergne']	Auvergne
35	Ira visiter, près de Moulins, les bois du président du Buisson.	3	P2656	C9979	['Moulins', 'Buisson']	Moulins,Buisson
64	Caution du sieur Arnou, fournisseur des chanvres d’Auvergne. A une contestation avec la Marine au sujet du paiement du fret des chanvres refusés.	6	P2656	C9973	['Auvergne']	Auvergne
76	Ordre pour servir à Rochefort.	7	P2656	C9984	['Rochefort']	Rochefort
53	Ecrivain ses appointements seront portés de 480 à 600 livres.	8	P2656	C9975	['Ecrivain']	Ecrivain
53	Missionnaire des sauvages au Canada s’est noyé.	8	P2656	C9982	['Canada']	Canada
118	Le faire partir promptement avec les agrès dont le sieur de Bléor a besoin.	1	P2783	C10331	['Bléor']	Bléor
118	Le faire partir promptement avec les agrès dont le sieur de Bléor a besoin.	1	P2783	C10332	['Bléor']	Bléor
118	Le faire partir promptement avec les agrès dont le sieur de Bléor a besoin.	1	P2783	C10333	['Bléor']	Bléor
118	Etat des munitions de guerre nécessaires au fort de la Grenade pour le mettre en état de défense.	1	P2783	C10330	['la Grenade']	la Grenade
118	Etat de ce qui est nécessaire pour la chapelle du fort Royal de la Martinique.	1	P2783	C10328	['fort Royal de la Martinique']	fort Royal de la Martinique
118	Etat de ce qui est nécessaire pour la chapelle du fort Royal de la Martinique.	1	P2783	C10329	['fort Royal de la Martinique']	fort Royal de la Martinique
117	Marquis d'Amblymont, lieutenant de vaisseau en 1663, capitaine en 1669, chef d'escadre en 1693, gouverneur général des Îles en 1700. Commande le vaisseau Les Jeux et part de Brest pour les îles d'Amérique.	1	P2784	C10335	['Îles', 'Brest', 'Amérique']	Îles,Brest,Amérique
124	Commissaire de la Marine à Lisbonne.	1	P3305	C11879	['Lisbonne']	Lisbonne
124	Expédie des marchandises de Lisbonne.	1	P3305	C11883	['Lisbonne']	Lisbonne
46	Subsistut au présidial de Saintes. A écrit au ministre pur faire interdire le sieur Lisferme, avocat, nouveau converti.	3	P3305	C11884	['Saintes']	Saintes
70	Enseigne de vaisseau, embarqué sur la flûte La Charente.	5	P3305	C11882	['La Charente']	La Charente
133	Commis contrôleur de la Marine à Rochefort en 1670. Il se chargea ensuite de fournir à la Marine les mâts des Pyrénées, et en juillet 1671 alla surveiller dans les Pyrénées les travaux de ses ouvriers. Il fut commissaire général à Rochefort de 1680 à 1690.	1	P3740	C13419	['Rochefort', 'Pyrénées', 'Pyrénées', 'Rochefort']	Rochefort,Pyrénées,Pyrénées,Rochefort
68	Entrepreneur de la Porte royale, à La Rochelle. Accusé de malversations.	3	P4375	C16302	['Porte royale', 'La Rochelle']	Porte royale,La Rochelle
68	A fait des réparations au four et au magasin de Tonnay-Charente.	3	P4375	C16301	['Tonnay-Charente']	Tonnay-Charente
68	Lui payer le magasin qu'il a construit à Saint-Nazaire.	3	P4375	C16304	['Saint-Nazaire']	Saint-Nazaire
144	Commandant le vaisseau le Vigilant, en relâche à Lisbonne, n'a pas escorté le vaisseau le Saint-Cosme.	1	P4480	C16706	['Lisbonne']	Lisbonne
144	Commandant le vaisseau le Vigilant, en relâche à Lisbonne, n'a pas escorté le vaisseau le Saint-Cosme.	1	P4480	C16707	['Lisbonne']	Lisbonne
144	Démonté de son commandement et envoyé au Château Trompette pour le punir de mauvais mariage qu'il a fait contre la volonté de son père.	1	P4480	C16708	['Château Trompette']	Château Trompette
144	Le Roi l'autorise à venir à Rochefort voir son père malade, pour tâcher d'obtenir son pardon.	1	P4480	C16709	['Rochefort']	Rochefort
143	Capitaine de vaisseau le 16 mars 1653, chef d'escadre le 12 décembre 1673, lieutenant général le 1er novembre 1689, mort le 26 mars 1697. Escorte à Rochefort le Saint Cosme et le Cygne Blanc, prises faites par le chevalier de Chateaurenault.	1	P4490	C16730	['Rochefort', 'Cygne Blanc']	Rochefort,Cygne Blanc
143	Va arriver au port. Il repartira pour porter des dépêches du Roi à Chateaurenault.	1	P4490	C16743	['Chateaurenault']	Chateaurenault
143	Doit arriver bientôt à Brest.	1	P4490	C16731	['Brest']	Brest
143	Réclame une indemnité pour des maisons qui lui ont été prises pour établir les fortifications de l'île de Ré.	1	P4490	C16740	['île de Ré.']	île de Ré.
143	Réclame une indemnité pour des maisons qui lui ont été prises pour établir les fortifications de l'île de Ré.	1	P4490	C16741	['île de Ré.']	île de Ré.
145	Marchand de La Rochelle. Colbert lui a fait payer 30 000 livres sur sa fourniture de chanvre.	1	P4553	C16968	['La Rochelle']	La Rochelle
145	Fournira cette année 600 milliers de chanvre.	1	P4553	C16966	['Fournira']	Fournira
145	Son vaisseau portera de la farine à Cayenne.	1	P4553	C16978	['Cayenne']	Cayenne
145	Son bâtiment portera des filles à Cayenne.	1	P4553	C16976	['Cayenne']	Cayenne
145	Son bâtiment portera des filles à Cayenne.	1	P4553	C16977	['Cayenne']	Cayenne
145	Obtient son passage sur la Charente pour se rendre à la Guadeloupe où il a un établissement.	1	P4553	C16969	['Charente', 'Guadeloupe']	Charente,Guadeloupe
93	Chargé des affaires de la compagnie des Indes orientales, à La Rochelle, se plaint d'être obligé de loger des officiers de troupe parce que ses papiers et son argent ne sont plus en sûreté.	2	P4853	C17948	['La Rochelle']	La Rochelle
105	Auteur d'une pompe de nouvelle invention en usage à Brest et à Toulon.	5	P4853	C17947	['Brest', 'Toulon']	Brest,Toulon
105	La pompe Godefroy est en essai sur le Chameau.	5	P4853	C17953	['Chameau']	Chameau
105	Faire fondre à Rochefort des tuyaux de cuivre pour les pompes Godefroy.	5	P4853	C17951	['Rochefort']	Rochefort
105	Il se rendra à Brest et à Rochefort pour surveiller le travail.	5	P4853	C17952	['Brest', 'Rochefort']	Brest,Rochefort
124	Envoie des chaudières à Cayenne aux sieurs de Charonville et Meunier.	6	P4853	C17950	['Cayenne', 'Charonville']	Cayenne,Charonville
125	L’intendant de Brest, M. Robert, écrit que les pompes Godefroy sont d’un bon service, et en demande un certain nombre pour son port.	6	P4853	C17955	['Brest']	Brest
125	L’intendant de Brest, M. Robert, écrit que les pompes Godefroy sont d’un bon service, et en demande un certain nombre pour son port.	6	P4853	C17956	['Brest']	Brest
125	12 pompes de son invention ont été perdues dans le naufrage de la Pie. Pompes existant dans les magasins de Rochefort.	6	P4853	C17946	['Rochefort']	Rochefort
149	Capitaine de vaisseau en 1654. Mort à La Rochelle en février 1675. C'était, d'après Colbert, un officier expérimenté. Parti du Havre le 26 juin 1673 pour Rochefort. Rentrera dans la Charente pour caréner ses vaisseaux.	1	P4877	C18006	['La Rochelle', 'Havre', 'Rochefort', 'Charente']	La Rochelle,Havre,Rochefort,Charente
149	Va prendre la mer. Escortera la flotte des gabelles jusqu'au Havre.	1	P4877	C18009	['Havre']	Havre
149	Colbert le croit sur le point d'arriver au Havre avec les vaisseaux qu'il escorte.	1	P4877	C18007	['Havre']	Havre
151	Greffier du présidial de Saintes.	1	P5121	C18507	['Saintes']	Saintes
163	Capitaine de cavalerie, puis mestre de camp en 1661, lieutenant général de l'Amérique de 1670 à 1675, puis gouverneur de Thionville. Après avoir pris puis perdu Trinquemalé, dans l'île de Ceylan, La Haye, en septembre 1672 s'était emparé de San-Thomé sur la cote de Coromandel. L'Eléphant lui portera 60 000 livres.	1	P5673	C20952	['Amérique', 'Thionville', 'Trinquemalé', 'Ceylan', 'La Haye', 'San-Thomé', 'cote de Coromandel']	Amérique,Thionville,Trinquemalé,Ceylan,La Haye,San-Thomé,cote de Coromandel
158	Consul de France à Terceire. Lui payer 5367 livres pour le compte Montortier, et 655 livres pour le compte du sieur de Boisneau.	1	P5741	C21383	['Terceire', 'Boisneau']	Terceire,Boisneau
161	Capitaine d'une frégate légère en 1666, capitaine de vaisseau en 1671, mort à La Clocheterie, commune de Plassay le 24 août 1696. Il avait d'abord été au servie de la compagnie des Indes et servit à Madagascar. En 1675 et 1676, ayant été envoyé aux îles de l'Amérique, il fit, au mépris des ordonnances le commerce du sucre et de l'indigo. A son retour, il fut emprisonné à La Rochelle. Protestant, il se convertit et eut une pension de 1000 livres. En 1672, il commandait le Saint-Paul dans l'escadre d'Estrées. A ramené à Rochefort l'équipage du Faucon. Escortera les bateaux marchands qui sortent de la rivière de Bordeaux. 	1	P5856	C21640	"['La Clocheterie', 'Plassay', 'Indes', 'Madagascar', ""l'Amérique"", 'La Rochelle', 'Saint-Paul', 'Estrées', 'Rochefort', 'Faucon', 'Bordeaux']"	La Clocheterie,Plassay,Indes,Madagascar,l'Amérique,La Rochelle,Saint-Paul,Estrées,Rochefort,Faucon,Bordeaux
161	Capitaine d'une frégate légère en 1666, capitaine de vaisseau en 1671, mort à La Clocheterie, commune de Plassay le 24 août 1696. Il avait d'abord été au servie de la compagnie des Indes et servit à Madagascar. En 1675 et 1676, ayant été envoyé aux îles de l'Amérique, il fit, au mépris des ordonnances le commerce du sucre et de l'indigo. A son retour, il fut emprisonné à La Rochelle. Protestant, il se convertit et eut une pension de 1000 livres. En 1672, il commandait le Saint-Paul dans l'escadre d'Estrées. A ramené à Rochefort l'équipage du Faucon. Escortera les bateaux marchands qui sortent de la rivière de Bordeaux. 	1	P5856	C21641	"['La Clocheterie', 'Plassay', 'Indes', 'Madagascar', ""l'Amérique"", 'La Rochelle', 'Saint-Paul', 'Estrées', 'Rochefort', 'Faucon', 'Bordeaux']"	La Clocheterie,Plassay,Indes,Madagascar,l'Amérique,La Rochelle,Saint-Paul,Estrées,Rochefort,Faucon,Bordeaux
172	Directeur de la Compagnie du Levant et de la manufacture du Nivernais. Il exploitait aussi les mines du Dauphiné et inspectait les fonderies de Bourgogne. Travaille à Paris à l'état des forunitures du port.	1	P6494	C23341	['manufacture du Nivernais', 'Dauphiné', 'Bourgogne', 'Paris']	manufacture du Nivernais,Dauphiné,Bourgogne,Paris
179	Commissaire de la Marine à Bordeaux, en 1671. Commissaire général en 1688. Doit prendre un soin particulier de l'enrôlement des matelots de toute la côte de Guyenne.	1	P6987	C25673	['Commissaire de la Marine', 'Bordeaux', 'Guyenne']	Commissaire de la Marine,Bordeaux,Guyenne
179	Commissaire de la Marine à Bordeaux, en 1671. Commissaire général en 1688. Doit prendre un soin particulier de l'enrôlement des matelots de toute la côte de Guyenne.	1	P6987	C25674	['Commissaire de la Marine', 'Bordeaux', 'Guyenne']	Commissaire de la Marine,Bordeaux,Guyenne
179	Commissaire de la Marine à Bordeaux, en 1671. Commissaire général en 1688. Doit prendre un soin particulier de l'enrôlement des matelots de toute la côte de Guyenne.	1	P6987	C25675	['Commissaire de la Marine', 'Bordeaux', 'Guyenne']	Commissaire de la Marine,Bordeaux,Guyenne
179	Commissaire de la Marine à Bordeaux, en 1671. Commissaire général en 1688. Doit prendre un soin particulier de l'enrôlement des matelots de toute la côte de Guyenne.	1	P6987	C25676	['Commissaire de la Marine', 'Bordeaux', 'Guyenne']	Commissaire de la Marine,Bordeaux,Guyenne
179	Donne avis de l'arrivée de trois corsaires espagnols à l'entrée de la rivière de Bordeaux.	1	P6987	C25677	['Bordeaux']	Bordeaux
179	Chargé d'instruire l'affaire du vaisseau la Sagesse, de Bordeaux. Le propriétaire, Sage, se plaint du sieur de La Brouste, capitaine de brûlot.	1	P6987	C25672	['Bordeaux', 'La Brouste']	Bordeaux,La Brouste
180	Annonce que l'écrivain du vaisseau l'Enflammé a déserté aux îles de l'Amérique. Il était de La Rochelle.	1	P6987	C25670	['Amérique', 'La Rochelle']	Amérique,La Rochelle
180	Annonce que l'écrivain du vaisseau l'Enflammé a déserté aux îles de l'Amérique. Il était de La Rochelle.	1	P6987	C25671	['Amérique', 'La Rochelle']	Amérique,La Rochelle
180	Signale des corsaires ennemis à l'entrée de la Gironde.	1	P6987	C25683	['Gironde']	Gironde
182	A touché 60 000 livres d'avance. Lui prendre des bois pour cette somme. (Les bois de Mademoiselle de Montpensier se trouvaient dans la principauté de Dombes).	1	P7170	C26275	['A', 'Dombes']	A,Dombes
186	Ira visiter la manufacture de canons de Landouilette à Planchemusnier.	1	P7513	C27345	['Landouilette', 'Planchemusnier']	Landouilette,Planchemusnier
186	Ira visiter la manufacture de canons de Landouilette à Planchemusnier.	1	P7513	C27346	['Landouilette', 'Planchemusnier']	Landouilette,Planchemusnier
186	Rentre malade à Rochefort.	1	P7513	C27347	['Rochefort']	Rochefort
186	Rentre malade à Rochefort.	1	P7513	C27348	['Rochefort']	Rochefort
186	Rentre malade à Rochefort.	1	P7513	C27349	['Rochefort']	Rochefort
186	Rentre malade à Rochefort.	1	P7513	C27350	['Rochefort']	Rochefort
186	Demande le remboursement des dépenses qu'il a faites dans la maison du Roi qu'il occupait à Rochefort.	1	P7513	C27341	['Rochefort']	Rochefort
186	Demande le remboursement des dépenses qu'il a faites dans la maison du Roi qu'il occupait à Rochefort.	1	P7513	C27342	['Rochefort']	Rochefort
